date,heure,température 1,température 2,humidité,pression
11/10/18,20:42:00,59.7,59.69,53.6,732.4
11/10/18,20:45:00,59.7,59.69,53.6,732.4
11/10/18,20:48:00,59.7,59.69,53.6,732.4
11/10/18,20:51:00,59.7,59.69,53.6,732.4
11/10/18,20:54:00,59.7,59.69,53.6,732.4
11/10/18,20:57:00,59.7,59.69,53.6,732.4
11/10/18,21:03:00,59.7,59.69,53.6,732.4
11/10/18,21:06:00,59.7,59.69,53.6,732.4
11/10/18,21:09:00,59.7,59.69,53.6,732.4
11/10/18,21:12:00,59.7,59.69,53.6,732.4
11/10/18,21:15:00,59.7,59.69,53.6,732.4
11/10/18,21:18:00,59.7,59.69,53.6,732.4
11/10/18,21:21:00,59.7,59.69,53.6,732.4
11/10/18,21:24:00,59.7,59.69,53.6,732.4
11/10/18,21:27:00,59.7,59.69,53.6,732.4
11/10/18,21:29:59,59.7,59.69,53.6,732.4
11/10/18,21:32:59,59.7,59.69,53.6,732.4
11/10/18,21:36:00,59.7,59.69,53.6,732.4
11/10/18,21:39:00,59.7,59.69,53.6,732.4
11/10/18,21:42:00,59.7,59.69,53.6,732.4
11/10/18,21:44:59,59.7,59.69,53.6,732.4
11/10/18,21:48:00,59.7,59.69,53.6,732.4
11/10/18,21:51:00,59.7,59.69,53.6,732.4
11/10/18,21:54:00,59.7,59.69,53.6,732.4
11/10/18,21:57:00,59.7,59.69,53.6,732.4
11/10/18,22:03:00,59.7,59.69,53.6,732.4
11/10/18,22:06:00,59.7,59.69,53.6,732.4
11/10/18,22:09:00,59.7,59.69,53.6,732.4
11/10/18,22:12:00,59.7,59.69,53.6,732.4
11/10/18,22:15:00,59.7,59.69,53.6,732.4
11/10/18,22:18:00,59.7,59.69,53.6,732.4
11/10/18,22:21:00,59.7,59.69,53.6,732.4
11/10/18,22:24:00,59.7,59.69,53.6,732.4
11/10/18,22:27:00,59.7,59.69,53.6,732.4
11/10/18,22:30:00,59.7,59.69,53.6,732.4
11/10/18,22:33:00,59.7,59.69,53.6,732.4
11/10/18,22:36:00,59.7,59.69,53.6,732.4
11/10/18,22:39:00,59.7,59.69,53.6,732.4
11/10/18,22:42:00,59.7,59.69,53.6,732.4
11/10/18,22:45:00,59.7,59.69,53.6,732.4
11/10/18,22:48:00,59.7,59.69,53.6,732.4
11/10/18,22:51:00,59.7,59.69,53.6,732.4
11/10/18,22:54:00,59.7,59.69,53.6,732.4
11/10/18,22:57:00,59.7,59.69,53.6,732.4
11/10/18,23:03:00,59.7,59.69,53.6,732.4
11/10/18,23:06:00,59.7,59.69,53.6,732.4
11/10/18,23:09:00,59.7,59.69,53.6,732.4
11/10/18,23:12:00,59.7,59.69,53.6,732.4
11/10/18,23:15:00,59.7,59.69,53.6,732.4
11/10/18,23:18:00,59.7,59.69,53.6,732.4
11/10/18,23:21:00,59.7,59.69,53.6,732.4
11/10/18,23:24:00,59.7,59.69,53.6,732.4
11/10/18,23:27:00,59.7,59.69,53.6,732.4
11/10/18,23:30:00,59.7,59.69,53.6,732.4
11/10/18,23:33:00,59.7,59.69,53.6,732.4
11/10/18,23:36:00,59.7,59.69,53.6,732.4
11/10/18,23:39:00,59.7,59.69,53.6,732.4
11/10/18,23:42:00,59.7,59.69,53.6,732.4
11/10/18,23:45:00,59.7,59.69,53.6,732.4
11/10/18,23:48:00,59.7,59.69,53.6,732.4
11/10/18,23:51:00,59.7,59.69,53.6,732.4
11/10/18,23:54:00,59.7,59.69,53.6,732.4
11/10/18,23:57:00,59.7,59.69,53.6,732.4
11/11/18,00:03:00,59.7,59.69,53.6,732.4
11/11/18,00:06:00,59.7,59.69,53.6,732.4
11/11/18,00:09:00,59.7,59.69,53.6,732.4
11/11/18,00:12:00,59.7,59.69,53.6,732.4
11/11/18,00:15:00,59.7,59.69,53.6,732.4
11/11/18,00:18:00,59.7,59.69,53.6,732.4
11/11/18,00:21:00,59.7,59.69,53.6,732.4
11/11/18,00:24:00,59.7,59.69,53.6,732.4
11/11/18,00:27:00,59.7,59.69,53.6,732.4
11/11/18,00:29:59,59.7,59.69,53.6,732.4
11/11/18,00:33:00,59.7,59.69,53.6,732.4
11/11/18,00:35:59,59.7,59.69,53.6,732.4
11/11/18,00:39:00,59.7,59.69,53.6,732.4
11/11/18,00:42:00,59.7,59.69,53.6,732.4
11/11/18,00:45:00,59.7,59.69,53.6,732.4
11/11/18,00:48:00,59.7,59.69,53.6,732.4
11/11/18,00:51:00,59.7,59.69,53.6,732.4
11/11/18,00:53:59,59.7,59.69,53.6,732.4
11/11/18,00:57:00,59.7,59.69,53.6,732.4
11/11/18,01:03:00,59.7,59.69,53.6,732.4
11/11/18,01:06:00,59.7,59.69,53.6,732.4
11/11/18,01:09:00,59.7,59.69,53.6,732.4
11/11/18,01:12:00,59.7,59.69,53.6,732.4
11/11/18,01:15:00,59.7,59.69,53.6,732.4
11/11/18,01:18:00,59.7,59.69,53.6,732.4
11/11/18,01:21:00,59.7,59.69,53.6,732.4
11/11/18,01:24:00,59.7,59.69,53.6,732.4
11/11/18,01:27:00,59.7,59.69,53.6,732.4
11/11/18,01:30:00,59.7,59.69,53.6,732.4
11/11/18,01:33:00,59.7,59.69,53.6,732.4
11/11/18,01:36:00,59.7,59.69,53.6,732.4
